id,corpus,stratum,type,source,title,year,url,accessible,inclusion_reason,notes
eu-ai-act-2024,3-policy,supranational,regulation,European Union,Regulation (EU) 2024/1689 — Artificial Intelligence Act,2024,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,true,"Anchor: first comprehensive horizontal AI law; risk-tiered governance.",Full consolidated text on EUR-Lex.
oecd-ai-principles-2024,3-policy,multilateral,recommendation,OECD,Recommendation of the Council on Artificial Intelligence (AI Principles),2024,https://legalinstruments.oecd.org/public/doc/648/648.en.pdf,true,"Foundational multilateral value statement (2019, revised 2024).",Direct OECD legal-instrument PDF (landing: OECD-LEGAL-0449).
unesco-ai-ethics-2021,3-policy,multilateral,recommendation,UNESCO,Recommendation on the Ethics of Artificial Intelligence,2021,https://www.unesco.org/en/articles/recommendation-ethics-artificial-intelligence,true,"First global normative standard on AI ethics; 194 member states.",Human-rights and dignity framing.
nist-ai-rmf-2023,3-policy,national,framework,NIST (US),AI Risk Management Framework 1.0,2023,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,true,"Canonical voluntary risk framework; govern/map/measure/manage.",Direct NIST PDF (landing hub: nist.gov/itl/ai-risk-management-framework).
nist-genai-profile-2024,3-policy,national,framework,NIST (US),AI RMF Generative AI Profile (NIST-AI-600-1),2024,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,true,"Operationalizes RMF for generative AI risks.",Direct NIST PDF; companion to the RMF.
us-eo-14110-2023,3-policy,national,executive-order,White House (US),"Executive Order 14110: Safe, Secure, and Trustworthy AI",2023,https://www.federalregister.gov/documents/2023/11/01/2023-24283/safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence,true,"Major national executive action on AI governance.",Rescinded Jan 2025 — retained as historical anchor; flag in coding.
us-ai-bill-of-rights-2022,3-policy,national,blueprint,White House OSTP (US),Blueprint for an AI Bill of Rights,2022,https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/10/Blueprint-for-an-AI-Bill-of-Rights.pdf,true,"Rights-based US framing of automated-systems protections.","Original OSTP page removed after 2025 admin change; official Biden-archive PDF. Non-binding; five principles."
uk-ai-white-paper-2023,3-policy,national,white-paper,UK Government,A pro-innovation approach to AI regulation,2023,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach,true,"Contrast case: principles-based, sector-led, non-statutory.",Diverges from EU horizontal model.
uk-bletchley-2023,3-policy,multilateral,declaration,AI Safety Summit,The Bletchley Declaration,2023,https://www.gov.uk/government/publications/ai-safety-summit-2023-the-bletchley-declaration,true,"First multilateral frontier-AI safety declaration; 28 countries.",Frontier/catastrophic-risk framing.
g7-hiroshima-2023,3-policy,multilateral,code-of-conduct,G7,Hiroshima Process International Guiding Principles & Code of Conduct,2023,https://digital-strategy.ec.europa.eu/en/library/hiroshima-process-international-guiding-principles-advanced-ai-system,true,"G7 voluntary code for advanced AI developers.",Bridges governance and company self-regulation.
coe-ai-convention-2024,3-policy,multilateral,treaty,Council of Europe,"Framework Convention on AI, Human Rights, Democracy and the Rule of Law",2024,https://www.coe.int/en/web/artificial-intelligence/the-framework-convention-on-artificial-intelligence,true,"First binding international AI treaty.",Human-rights treaty instrument.
un-governing-ai-2024,3-policy,multilateral,report,UN High-Level Advisory Body,Governing AI for Humanity — Final Report,2024,https://www.un.org/en/ai-advisory-body,true,"Global-South-inclusive governance proposals; UN-level.",Counterweight to OECD/EU-centric framing.
china-genai-measures-2023,3-policy,national,regulation,Cyberspace Administration of China,Interim Measures for the Management of Generative AI Services,2023,https://www.chinalawtranslate.com/en/generative-ai-interim/,true,"Major non-Western regulatory model; state-values alignment.",English translation (China Law Translate).
germany-ai-strategy-2020,3-policy,national,strategy,Federal Government of Germany,Artificial Intelligence Strategy (2020 update),2020,https://www.ki-strategie-deutschland.de/home.html,true,"Host-country strategy; relevant to Konstanz context.",2018 strategy, updated 2020.
canada-dadm-2023,3-policy,national,directive,Government of Canada,Directive on Automated Decision-Making,2023,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592,true,"Operational public-sector ADM directive with impact-assessment tiers.",Binding on federal institutions.
singapore-model-framework-2024,3-policy,national,framework,Singapore IMDA/PDPC,Model AI Governance Framework for Generative AI,2024,https://aiverifyfoundation.sg/resources/mgf-gen-ai/,true,"Industry-facing, light-touch Asian governance model.",Pairs with AI Verify toolkit.
oecd-ai-policy-observatory,3-policy,multilateral,registry,OECD.AI,National AI Policies & Strategies registry,2024,https://oecd.ai/en/dashboards/overview,true,"Source frame: registry of 1000+ national policy initiatives.",Use to enlarge the national stratum reproducibly.
iso-iec-42001-2023,3-policy,standards,standard,ISO/IEC,ISO/IEC 42001:2023 — AI management system,2023,https://www.iso.org/standard/42001,false,"Canonical AI management-system standard.","PAYWALLED — record metadata only; do not redistribute text."
