company,stratum,type,anchor,title,year,url,arxiv_id,local_stem,raw_ext,accessible,authorship_ok,sha256,inclusion_reason
anthropic,research,paper,True,Constitutional AI: Harmlessness from AI Feedback,2022,https://arxiv.org/abs/2212.08073,2212.08073,anthropic__2212.08073,pdf,True,True,9a456a07ad346e33,Foundational anchor: canonical origin of Constitutional AI.
anthropic,research,paper,False,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,2024,https://arxiv.org/abs/2401.05566,2401.05566,anthropic__2401.05566,pdf,True,True,988e62785a475337,Canonical named-method safety paper on persistent deception.
anthropic,research,paper,False,Alignment faking in large language models,2024,https://arxiv.org/abs/2412.14093,2412.14093,anthropic__2412.14093,pdf,True,True,f448dfe38f2144f0,Anthropic-led (w/ Redwood); training-time deception result.
anthropic,research,paper,False,Natural Emergent Misalignment from Reward Hacking in Production RL,2025,https://arxiv.org/abs/2511.18397,2511.18397,anthropic__2511.18397,pdf,True,True,312b50556c2c2b5b,Recent flagship: emergent misalignment + inoculation mitigation.
anthropic,research,paper,False,Model Spec Midtraining: Improving How Alignment Training Generalizes,2026,https://arxiv.org/abs/2605.02087,2605.02087,anthropic__2605.02087,pdf,True,True,29559d763cef1a41,Value-spec generalization method; in-window.
anthropic,public,webpage,False,"Core Views on AI Safety: When, Why, What, and How",2023,https://www.anthropic.com/news/core-views-on-ai-safety,,anthropic__core-views,html,True,True,d9c1d33dc3b43f8c,Official self-designated statement of safety approach.
anthropic,public,framework,False,Anthropic's Responsible Scaling Policy (v3.3),2026,https://www.anthropic.com/responsible-scaling-policy,,anthropic__responsible-scaling-policy,html,True,True,cabd0376b7f3cbfb,Official risk-governance/oversight framework.
anthropic,public,spec,False,Claude's Constitution,2026,https://www.anthropic.com/constitution,,anthropic__claude-constitution,html,True,True,bb949f91e416054d,Official value spec used in training (Askell).
anthropic,public,blog,False,Collective Constitutional AI: Aligning a Language Model with Public Input,2023,https://www.anthropic.com/research/collective-constitutional-ai-aligning-a-language-model-with-public-input,,anthropic__collective-constitutional-ai,html,True,True,eeb2221b781a73fe,Democratic value-input to Claude's constitution.
openai,research,paper,True,Training language models to follow instructions with human feedback (InstructGPT),2022,https://arxiv.org/abs/2203.02155,2203.02155,openai__2203.02155,pdf,True,True,c1984bb50a5b90fd,Foundational anchor: canonical RLHF/instruction-following origin.
openai,research,paper,False,Deliberative Alignment: Reasoning Enables Safer Language Models,2024,https://arxiv.org/abs/2412.16339,2412.16339,openai__2412.16339,pdf,True,True,baa269bca9655697,Named flagship alignment method (value-spec reasoning).
openai,research,paper,False,Monitoring Reasoning Models for Misbehavior and the Risks of Promoting Obfuscation,2025,https://arxiv.org/abs/2503.11926,2503.11926,openai__2503.11926,pdf,True,True,2547162c549d70e0,"CoT-monitoring / oversight method, alignment-framed."
openai,research,paper,False,Persona Features Control Emergent Misalignment,2025,https://arxiv.org/abs/2506.19823,2506.19823,openai__2506.19823,pdf,True,True,619b277c2e636dc7,OpenAI-authored (not Anthropic); misalignment interpretability.
openai,public,spec,False,OpenAI Model Spec,2025,https://model-spec.openai.com/,,openai__model-spec,html,True,True,8c95f02085548b14,Official value-specification doc (GitHub-hosted markdown).
openai,public,framework,False,OpenAI Preparedness Framework (Version 2),2025,https://openai.com/index/updating-our-preparedness-framework/,,openai__preparedness-framework-v2,pdf,True,True,fae6e4cc6f7212a0,Official risk-threshold governance framework (cdn PDF).
openai,public,blog,False,Our approach to alignment research,2022,https://openai.com/index/our-approach-to-alignment-research/,,openai__openai-approach-alignment,html,True,True,bd30ed129d85a55e,Legacy pre-window approach statement; retained (superseded by 'How we think').
openai,public,webpage,False,How we think about safety and alignment,2025,https://openai.com/safety/how-we-think-about-safety-alignment/,,,,False,True,,BLOCKED: Cloudflare 403 (curl/WebFetch/Googlebot/Wayback) — link-only.
openai,public,blog,False,Collective alignment: public input on our Model Spec (Aug 2025 updates),2025,https://openai.com/index/collective-alignment-aug-2025-updates/,,,,False,True,,BLOCKED: Cloudflare 403 — link-only. Content recoverable via HF openai/collective-alignment-1.
deepmind,research,paper,True,Scalable agent alignment via reward modeling: a research direction,2018,https://arxiv.org/abs/1811.07871,1811.07871,deepmind__1811.07871,pdf,True,True,d54307969b7547db,Foundational anchor: origin of DeepMind's reward-modeling agenda.
deepmind,research,paper,False,An Approach to Technical AGI Safety and Security,2025,https://arxiv.org/abs/2504.01849,2504.01849,deepmind__2504.01849,pdf,True,True,8f6b9fb28658ae81,Flagship technical-strategy statement (Google DeepMind byline).
deepmind,research,paper,False,On scalable oversight with weak LLMs judging strong LLMs,2024,https://arxiv.org/abs/2407.04622,2407.04622,deepmind__2407.04622,pdf,True,True,ff0a323d6109044e,Amplified/scalable-oversight method (DeepMind safety team).
deepmind,research,paper,False,Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety,2025,https://arxiv.org/abs/2507.11473,2507.11473,deepmind__2507.11473,pdf,True,True,420d2c12a787b690,Multi-lab oversight position incl. DeepMind safety leadership.
deepmind,research,paper,False,To Mask or to Mirror: Human-AI Alignment in Collective Reasoning,2025,https://arxiv.org/abs/2510.01924,2510.01924,deepmind__2510.01924,pdf,True,True,a27fc647c1a7f1f2,Human-AI alignment in collective reasoning (4/6 authors DeepMind).
deepmind,public,framework,False,Frontier Safety Framework (Version 3.1),2026,https://deepmind.google/blog/strengthening-our-frontier-safety-framework/,,deepmind__frontier-safety-framework-v3-1,pdf,True,True,ad10d2d240e0d557,"Core governance/risk-threshold framework (CCLs, TCLs)."
deepmind,public,blog,False,Taking a responsible path to AGI,2025,https://deepmind.google/blog/taking-a-responsible-path-to-agi/,,deepmind__responsible-path-to-agi,html,True,True,0494dc0f060fb783,Public companion to the technical AGI-safety paper.
meta,research,paper,True,Llama Guard: LLM-based Input-Output Safeguard for Human-AI Conversations,2023,https://arxiv.org/abs/2312.06674,2312.06674,meta__2312.06674,pdf,True,True,fc5a3690f3a7771d,Foundational anchor: purpose-built safety taxonomy + safeguard model (all Meta).
meta,research,paper,False,Safety Alignment of LMs via Non-cooperative Games (AdvGame),2025,https://arxiv.org/abs/2512.20806,2512.20806,meta__2512.20806,pdf,True,True,4b19a5b62c13982d,Attacker/defender safety-alignment via RL (FAIR).
meta,research,paper,False,The Perfect Blend: Redefining RLHF with Mixture of Judges (CGPO),2024,https://arxiv.org/abs/2409.20370,2409.20370,meta__2409.20370,pdf,True,True,0f6714a4f075b20d,Constrained multi-objective RLHF (Meta GenAI/FAIR).
meta,research,paper,False,Beyond Reward Hacking: Causal Rewards for Large Language Model Alignment,2025,https://arxiv.org/abs/2501.09620,2501.09620,meta__2501.09620,pdf,True,True,c215e2b37deed5b2,Causal reward-model alignment (sycophancy/length/fairness).
meta,research,paper,False,FLAME: Factuality-Aware Alignment for Large Language Models,2024,https://arxiv.org/abs/2405.01525,2405.01525,meta__2405.01525,pdf,True,True,3158babc9fd73762,Factuality as an alignment failure (Meta AI).
meta,public,blog,False,Scaling How We Build and Test Our Most Advanced AI,2026,https://ai.meta.com/blog/scaling-how-we-build-test-advanced-ai/,,meta__muse-spark-scaling-blog,html,True,True,4a9fa40f33977f3d,Public substitute for the gated Muse Spark report; Advanced AI Scaling Framework.
meta,public,framework,False,Meta Frontier AI / Advanced AI Scaling Framework (v2),2025,https://ai.meta.com/static-resource/Meta_Advanced-AI-Scaling-Framework-v2/,,,,False,True,,BLOCKED: Facebook-gated static resource — link-only (scaling blog is the in-corpus substitute).
microsoft,research,paper,False,Controllable Safety Alignment: Inference-Time Adaptation to Diverse Safety Requirements,2024,https://arxiv.org/abs/2410.08968,2410.08968,microsoft__2410.08968,pdf,True,True,ff2736c83707eef7,Aligns model to free-form natural-language safety configs (value-spec).
microsoft,research,paper,False,Contextual Integrity in LLMs via Reasoning and Reinforcement Learning,2025,https://arxiv.org/abs/2506.04245,2506.04245,microsoft__2506.04245,pdf,True,True,3a3654f2275bd193,Aligns agent behavior to contextual-integrity norms (5/8 authors MS).
microsoft,research,paper,False,Privacy in Action: Realistic Privacy Mitigation and Evaluation for LLM-Powered Agents,2025,https://arxiv.org/abs/2509.17488,2509.17488,microsoft__2509.17488,pdf,True,True,eb3b5f9f1d53c78c,PrivacyChecker: constrains agent disclosure to privacy norms (MSR).
microsoft,research,report,False,Phi-4-reasoning Technical Report,2025,https://arxiv.org/abs/2504.21318,2504.21318,microsoft__2504.21318,pdf,True,True,55bb6680dae0a133,Included for its alignment/safety SFT section (RAI standards + AIRT).
microsoft,public,spec,True,"Microsoft Responsible AI Standard, v2: General Requirements",2022,https://blogs.microsoft.com/wp-content/uploads/prod/sites/5/2022/06/Microsoft-Responsible-AI-Standard-v2-General-Requirements-3.pdf,,microsoft__responsible-ai-standard-v2,pdf,True,True,9eb4606fc690ef21,Foundational anchor: operational origin of MS responsible-AI governance.
microsoft,public,essay,False,Towards Humanist Superintelligence,2025,https://microsoft.ai/news/towards-humanist-superintelligence/,,microsoft__humanist-superintelligence,html,True,True,015ddd71df08607d,"Top-level alignment posture (MAI Superintelligence Team, Suleyman)."
microsoft,public,framework,False,Microsoft Frontier Governance Framework,2025,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/Microsoft-Frontier-Governance-Framework.pdf,,microsoft__frontier-governance-framework,pdf,True,True,da0d8b1507a305fb,Frontier-AI risk/capability governance framework.
microsoft,public,report,False,2025 Responsible AI Transparency Report,2025,https://www.microsoft.com/en-us/corporate-responsibility/responsible-ai-transparency-report/,,microsoft__responsible-ai-transparency-report-2025,pdf,True,True,86c75fe503f3ee12,"Operationalizes governance: policy->implementation, red-teaming, NIST loop."
